id,name,material,test,answer,,
11,Правила движения пешеходов по дороге,"Пешеходы должны двигаться по тротуарам, а если их нет – по обочине, против движения автомобилей. При переходе дороги нужно убедиться в безопасности и использовать пешеходные переходы. Важно быть внимательным и не отвлекаться на гаджеты.",1. Где должны ходить пешеходы? 2. Как правильно переходить дорогу? 3. Почему важно не отвлекаться на гаджеты?,"a. На тротуарах
b. На проезжей части
c. Везде, где удобно
","a. На зеленый свет светофора
b. В любом месте, где хочется
c. На красный свет, если нет машин","a. Это может привести к авариям 
b. Чтобы не потерять заряд батареи
c. Чтобы не пропустить сообщения
"
12,Правила вождения на роликах,"При катании на роликах важно носить защитное снаряжение, включая шлем и наколенники. Двигайтесь по специально отведенным местам, избегая проезжей части. Будьте внимательны к пешеходам и другим роллерам, соблюдайте дистанцию и правила дорожного движения.",1. Какое защитное снаряжение нужно носить при катании на роликах? 2. Где можно кататься на роликах? 3. Почему важно соблюдать дистанцию?,"a. Шлем и защитные наколенники 
b. Только стильную обувь
c. Очки для солнца","a. На специальных площадках и в парках 
b. На проезжей части
c. В пешеходных зонах
","a. Чтобы избежать столкновений 
b. Чтобы не потерять скорость
c. Чтобы показать свою ловкость"
13,Правила поведения автопассажиров,"Автопассажиры должны пристегиваться ремнями безопасности и не отвлекать водителя. Важно вести себя спокойно и не мешать ему управлять автомобилем. При выходе из автомобиля убедитесь, что это безопасно, и не открывайте двери, не проверив обстановку.",1. Почему важно пристегиваться ремнем безопасности? 2. Как вести себя в автомобиле? 3. Что нужно делать перед выходом из автомобиля?,"a. Для защиты при аварии 
b. Чтобы не испачкать одежду
c. Чтобы не потерять вещи в машине","a. Соблюдать спокойствие и не мешать водителю 
b. Разговаривать громко и отвлекать водителя
c. Играть в игры на телефоне","a. Убедиться в безопасности и посмотреть по сторонам 
b. Открыть дверь и сразу выйти
c. Поставить машину на ручной тормоз"
14,Правила обращения с гаджетами во время движения,"Использование гаджетов во время движения может отвлекать водителя и приводить к авариям. Важно не использовать телефон для звонков или сообщений, а также не смотреть видео. Если необходимо использовать гаджет, лучше остановиться в безопасном месте.","1. Почему нельзя использовать гаджеты во время движения? 2. Что делать, если нужно использовать телефон? 3. Как гаджеты могут повлиять на безопасность?","a. Это отвлекает водителя и может привести к аварии 
b. Чтобы не разрядить телефон
c. Чтобы не отвлекать пассажиров",,
15,Знаки регулирования дорожного движения,"Знаки регулирования дорожного движения помогают организовать движение и обеспечивают безопасность. К ним относятся знаки «Стоп», «Уступи дорогу», а также светофоры. Важно знать их значения и следовать указаниям, чтобы избежать аварий.",1. Какие знаки относятся к регулированию дорожного движения? 2. Почему важно знать значения дорожных знаков? 3. Как знаки помогают обеспечить безопасность?,,,
16,Правила движения по магистралям,"На магистралях движение осуществляется с высокой скоростью, поэтому важно соблюдать правила. Необходимо использовать правую полосу для движения, а обгонять – только слева. Следите за знаками и разметкой, а также за расстоянием до других автомобилей.",1. Какое правило нужно соблюдать на магистралях? 2. Где можно обгонять на магистрали? 3. Почему важно следить за расстоянием до других автомобилей?,,,
17,Правила вождения на дорогах с различным покрытием,"Дороги могут иметь разные покрытия: асфальт, гравий, снег и лед. Важно адаптировать скорость и стиль вождения в зависимости от состояния дороги. На скользких участках следует быть особенно осторожным и избегать резких маневров.",1. Как влияет покрытие дороги на вождение? 2. Что нужно делать на скользких участках? 3. Почему важно адаптировать скорость?,,,
18,Правила обращения с животными на дороге,"Если вы видите животное на дороге, необходимо снизить скорость и быть готовым остановиться. Не пытайтесь объехать животное, если это может привести к аварии. Если животное сбито, сообщите об этом в соответствующие службы.","1. Что делать, если вы видите животное на дороге? 2. Почему нельзя пытаться объехать животное? 3. Как действовать, если животное сбито?",,,
19,Правила вождения на общественном транспорте,"Водители общественного транспорта должны соблюдать правила дорожного движения и обеспечивать безопасность пассажиров. Пассажиры, в свою очередь, должны вести себя спокойно, не мешать водителю и соблюдать правила поведения в транспорте.",1. Какие правила должны соблюдать водители общественного транспорта? 2. Как должны вести себя пассажиры? 3. Почему важно соблюдать правила в общественном транспорте?,,,
20,Правила преодоления препятствий на дороге,"При встрече с препятствием на дороге важно заранее оценить ситуацию. Если препятствие можно объехать, сделайте это осторожно, убедившись в безопасности. Если нет, остановитесь и дождитесь помощи.",1. Что делать при встрече с препятствием на дороге? 2. Как оценить ситуацию с препятствием? 3. Почему важно быть осторожным?,,,
21,Правила оказания помощи на дороге,"Если вы стали свидетелем аварии, важно оказать помощь пострадавшим, если это безопасно. Позвоните в экстренные службы и сообщите о происшествии. Не перемещайте пострадавших, если это не необходимо, чтобы не усугубить травмы.","1. Что делать, если вы стали свидетелем аварии? 2. Почему нельзя перемещать пострадавших без необходимости? 3. Как сообщить о происшествии?",,,
22,Знаки ограничения скорости,"Знаки ограничения скорости указывают максимальную скорость, с которой можно двигаться на данном участке дороги. Соблюдение этих знаков помогает предотвратить аварии и обеспечивает безопасность. Важно следить за знаками и адаптировать скорость в зависимости от условий. Например, в населенных пунктах скорость может быть ниже, чем на трассах. Также учитывайте погодные условия и состояние дороги.",1. Для чего нужны знаки ограничения скорости? 2. Как соблюдение знаков влияет на безопасность? 3. Как изменяются ограничения скорости в зависимости от условий?,,,
23,Правила движения в условиях плохой видимости,"В условиях плохой видимости, таких как туман, дождь или ночь, важно быть особенно внимательным. Используйте фары, чтобы улучшить видимость, и снижайте скорость. Убедитесь, что у вас достаточно расстояния для остановки. Также следите за другими участниками движения и будьте готовы к неожиданным ситуациям. Помните, что в таких условиях ваша реакция должна быть быстрой и точной.",1. Как следует вести себя в условиях плохой видимости? 2. Почему важно использовать фары? 3. Как скорость влияет на безопасность в таких условиях?,,,
24,Правила вождения в условиях дождя или снегопада,"Вождение в дождь или снег требует особого внимания. Снижайте скорость, чтобы избежать аквапланирования или скольжения. Убедитесь, что ваши шины в хорошем состоянии, а стеклоочистители работают. Держите безопасное расстояние до впереди идущего автомобиля, чтобы иметь возможность остановиться в случае необходимости. Будьте готовы к изменению дорожных условий и следите за знаками.",1. Как изменяется поведение автомобиля в дождь или снег? 2. Почему важно снижать скорость в таких условиях? 3. Какие меры предосторожности следует принимать при вождении в плохую погоду?,,,
25,Правила поведения в экстремальных ситуациях на дороге,"В экстремальных ситуациях, таких как авария или потеря управления, важно сохранять спокойствие. Если вы попали в аварию, проверьте состояние всех участников и вызовите помощь. Если вы теряете управление, не делайте резких движений, а постарайтесь плавно вернуть автомобиль на дорогу. Знайте, как действовать в различных ситуациях, чтобы минимизировать последствия и обеспечить безопасность.","1. Каковы основные действия при попадании в аварию? 2. Что делать, если вы теряете управление автомобилем? 3. Как сохранить спокойствие в экстремальных ситуациях?",,,
